array_type,algorithm,n,time,ops
almost_sorted,insertion,1900,5711.817477131262,824826
almost_sorted,insertion,2000,6097.6733232382685,887072
almost_sorted,counting,100,83.59255618415773,13048
almost_sorted,counting,200,106.34573991410434,16702
almost_sorted,counting,300,139.99660033732653,19102
almost_sorted,counting,400,155.52995610050857,21502
almost_sorted,counting,500,172.26253869011998,23902
almost_sorted,counting,600,189.31088387034833,26302
almost_sorted,counting,700,205.73174464516342,28702
almost_sorted,counting,800,222.04334614798427,31102
almost_sorted,counting,900,241.16755928844213,33502
almost_sorted,counting,1000,256.73741823993623,35902
almost_sorted,counting,1100,273.9783376455307,38302
almost_sorted,counting,1200,290.83256027661264,40774
almost_sorted,counting,1300,307.629881426692,43174
almost_sorted,counting,1400,323.5149465035647,45574
almost_sorted,counting,1500,342.0600201934576,47974
almost_sorted,counting,1600,359.65914255939424,50374
almost_sorted,counting,1700,380.69085916504264,52774
almost_sorted,counting,1800,400.97077609971166,55174
almost_sorted,counting,1900,412.90325461886823,57574
almost_sorted,counting,2000,432.40256141871214,59998
almost_sorted,merge,100,56.38251546770334,8674
almost_sorted,merge,200,131.18659961037338,20065
almost_sorted,merge,300,203.44575634226203,32142
almost_sorted,merge,400,279.62421881966293,45062
almost_sorted,merge,500,354.8158972989768,57997
almost_sorted,merge,600,446.0492613725364,71176
almost_sorted,merge,700,533.160783816129,85481
almost_sorted,merge,800,620.3167245257646,99981
almost_sorted,merge,900,705.0600624643266,113996
almost_sorted,merge,1000,797.6307964418083,128821
almost_sorted,merge,1100,916.740900138393,143729
almost_sorted,merge,1200,1000.7082822266965,157934
almost_sorted,merge,1300,1095.0199817307293,173644
almost_sorted,merge,1400,1184.5824448391795,188564
almost_sorted,merge,1500,1281.5425172448158,204274
almost_sorted,merge,1600,1384.67752141878,219464
almost_sorted,merge,1700,1471.8258380889893,234944
almost_sorted,merge,1800,1565.5208169482648,250079
almost_sorted,merge,1900,1657.515080878511,264944
almost_sorted,merge,2000,1745.143416337669,279789
almost_sorted,quick,100,58.05665627121925,12099
almost_sorted,quick,200,141.26506517641246,28223
almost_sorted,quick,300,222.5824457127601,44807
almost_sorted,quick,400,288.89331966638565,53817
almost_sorted,quick,500,419.96004059910774,78195
almost_sorted,quick,600,542.410803027451,98111
almost_sorted,quick,700,678.5841251257807,120981
almost_sorted,quick,800,797.89251787588,141581
almost_sorted,quick,900,1004.1408170945941,175569
almost_sorted,quick,1000,1051.2174991890788,175465
almost_sorted,quick,1100,1091.2983235903084,181769
almost_sorted,quick,1200,1157.2375800460577,192639
almost_sorted,quick,1300,1494.7641221806407,250117
almost_sorted,quick,1400,1260.2975207846612,202855
almost_sorted,quick,1500,1282.0658762939274,199347
almost_sorted,quick,1600,1441.4600748568773,230033
almost_sorted,quick,1700,1416.6783820837736,227061
almost_sorted,quick,1800,1595.9242032840848,260667
almost_sorted,quick,1900,1650.6615618709475,261637
almost_sorted,quick,2000,2533.549921354279,393433
almost_sorted,shell,100,22.866660729050636,6222
almost_sorted,shell,200,62.51667859032751,16414
almost_sorted,shell,300,110.36509997211397,27214
almost_sorted,shell,400,169.11012469790876,39064
almost_sorted,shell,500,234.7399212885648,51572
almost_sorted,shell,600,301.7574723344296,64188
almost_sorted,shell,700,369.282386964187,76960
almost_sorted,shell,800,445.1783047989011,90950
almost_sorted,shell,900,515.3240589424968,104782
almost_sorted,shell,1000,598.0249342974275,119478
almost_sorted,shell,1100,675.6323110312223,135086
almost_sorted,shell,1200,777.7166424784809,153466
almost_sorted,shell,1300,872.1350214909762,169782
almost_sorted,shell,1400,954.4583060778677,186506
almost_sorted,shell,1500,1020.7150795031339,200698
almost_sorted,shell,1600,1115.1508369948715,216414
almost_sorted,shell,1700,1182.1150174364448,230702
almost_sorted,shell,1800,1268.0784601252526,246514
almost_sorted,shell,1900,1370.7699649967253,258510
almost_sorted,shell,2000,1406.952483812347,271406
